UUID,Name,Birthday,Gender,Class
8ae3559a-8fd1-4bdb-b3db-07682d7d5b10,Đoàn Bảo Hùng,9/29/2003 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
9e7fa4e7-3d57-4be7-9701-a142c14f91f1,Võ Đoàn Dương,4/10/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
084adf70-ba2a-450d-8166-e6c5d672174a,Kiều Văn Thông,3/27/2003 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
9173f741-c539-4ae4-b1e9-73e231438684,Phạm Thế Việt,10/15/2005 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
ff33c26d-c26e-4f93-8b53-8b1fbd035d5a,Lý Thế Long,8/24/2003 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
be1a192a-1463-4845-b69a-786b5aa6940b,Bùi Xuân Thông,6/6/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
115efa1d-5c8c-4a87-b64b-67442b255630,Phạm Diệu Thi,11/6/2002 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
9cbb1fd1-6106-426d-9cae-6eaacbe3a71b,Võ Tử Vân,7/14/2001 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
57ad631f-2507-4425-a791-68867db91d8a,Hà Đoàn Hùng,9/7/2004 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
807e54ab-5d56-4f64-ba87-12512634955f,Lý Ngọc Thảo,8/4/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
e2cd9a19-ae12-41de-89b7-586559093d59,Hà Ngọc Hoa,2/9/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
d65b91bb-0000-477c-affa-231d64d08a89,Võ Anh Thành,2/27/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
146ab62a-8a6e-437d-91e2-0ec80f063920,Lý Xuân Thịnh,7/29/2003 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
b4f4c919-f795-445b-9479-ef52b22de9cb,Trần Văn Việt,11/29/2001 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
ab9fb25b-0cc9-4492-9bed-ad0af1595468,Võ Thanh Lan,9/29/2002 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
4fda9694-9f35-4f39-b170-3d95d3cd0dea,Bùi Thị Giang,3/25/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
4b51744a-f6ca-4c62-a7a7-0dcec2120021,Trầm Ngọc Ý,6/13/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
2127c593-7004-48b9-bc05-b80fa7029de1,Hà Thế Sơn,2/6/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
4ee28cb5-c773-4a8a-9782-77a5ba8b4e77,Trần Kim Hà,5/25/2002 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
36c4d85a-1ec3-422a-8087-ca6d574769cd,Trầm Bảo Khánh,3/16/2004 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
d24f37ee-f00e-4c74-ae8e-5dc2a9f98277,Lý Xuân Hiếu,8/20/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
33fdbcb0-5c18-4db5-8d6c-2ae0f0109b7f,Hồ Trường Hoàng,2/27/2001 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
5e54d6f0-c0dc-41c3-b5a2-215b69017d6f,Lại Như Giang,12/29/2002 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
105bdf78-98e7-4447-a84f-9c373ea3cd9e,Hà Thế Sơn,6/2/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
459ce3ba-7a86-42f7-948c-0e2e0a77de86,Lê Xuân Hùng,1/15/2002 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
fb603738-0579-41ea-bf01-08ecc86f9fca,Phạm Diệu Châu,8/22/2004 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
240a1cb8-3208-4f65-9ecf-2b8dc6fcd610,Kiều Đoàn Hưng,7/22/2003 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
7853ca23-cfd8-4afd-a42c-49d5b06092d9,Kiều Thu Thảo,11/15/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
e5147b0e-3519-4ca4-8a29-bbf9843941ef,Hồ Thúy Thảo,11/21/2004 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
1c744ca3-a28c-42a3-8759-977f760e697d,Hồ Xuân Thông,6/6/2005 12:00:00 AM,Male,3e39ae18-c272-44e5-b312-dae852a908b1
102dd5d9-464c-48a0-9852-a7486d3ec832,Phạm Ngọc Giang,7/1/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
87a6fe22-4097-4114-9069-ad6d01c7ce19,Lại Thu Hà,8/31/2005 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
6d6e9a69-184b-4b6d-8fff-84ce631be755,Trần Ngọc Vân,11/9/2004 12:00:00 AM,Female,3e39ae18-c272-44e5-b312-dae852a908b1
ec33f72a-3c97-467e-97a2-b3d78bf7a142,Phạm Bảo Sơn,4/1/2005 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
fb43e486-e58f-4054-ad24-7601a19dfe08,Võ Trọng Hiếu,8/15/2001 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
39f7c47d-95a9-4568-bc3a-54a1a58f9c62,Trần Đoàn Thành,2/18/2001 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
9e42b9c6-803f-4ef6-802a-3ae048be9624,Bùi Kim Yến,11/21/2001 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
078a009a-ec8d-4fbc-bd4a-7f33a27bd51e,Võ Thế Thông,5/16/2005 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
3ce314ef-0605-423f-98a9-47b624464348,Hồ Thanh Kiều,6/17/2001 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
1bd5c666-73b5-4d61-9d71-0253f481e466,Lê Trường Tuấn,7/11/2004 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
7cc57a20-1c9c-45a4-80d0-29a49a02ec98,Trần Thu Vân,9/20/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
5d4f52c3-18e7-4042-bcc0-0bcc8a7cfaab,Nguyễn Bảo Đạt,10/25/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
6c4b479c-e64e-44f5-8ef1-b09ce70f8f4d,Bùi Xuân Việt,7/27/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
9eb42794-6559-452e-b25e-02b7a1ab30fe,Nguyễn Tiểu Mai,1/26/2002 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
3e58cc53-c56a-4171-acb3-ace16dea8c54,Lê Thu Ý,2/24/2004 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
18d40ac6-4703-416d-a116-b942c1fe0710,Lê Trọng Hiếu,3/10/2001 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
b8992013-787f-4713-91af-88b20e993cf4,Lý Diệu Giang,11/1/2004 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
6e621098-33f9-4a6f-8f87-86b1311ae399,Hồ Hoàng Long,11/23/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
fa846416-b8a4-4049-9ab5-df4d2d3d3a78,Lý Trường Thông,9/5/2001 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
27c905ee-8f16-46c8-b62a-d35add4c4f9d,Hà Tiểu Vân,9/20/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
515e6d88-39a8-455d-b047-5be9d59f19c4,Trần Xuân Lan,12/7/2004 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
f5237175-2d23-48b6-841b-6874d1aab570,Phạm Tử Giang,7/17/2002 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
17a1a08f-bbe3-464c-b79e-89207c3b078d,Bùi Như Vân,4/22/2001 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
5180c90d-2b2a-468d-a590-4533cfa4c9df,Đoàn Hoàng Huy,12/26/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
350a8357-c536-4c20-98e4-c9e976b95fab,Hà Bá Thành,8/17/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
3daaabbb-e8c4-4cb1-ad85-cfa46702e13a,Hồ Đặng Vy,11/11/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
691bde14-5cdf-4415-9ba4-aebef8f7933a,Lê Thanh Thi,7/4/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
1a97a0fa-9078-4da4-a574-a98992350d2e,Lê Ngọc Hà,12/24/2004 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
41af4744-0af9-4ac8-801b-ae31db28d206,Lê Thị Ý,4/3/2004 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
c1ec8bef-84a4-4464-8180-b2e450a7bfaf,Hà Trọng Hưng,4/22/2004 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
2b42a8d9-1f36-4298-8b98-b1967db24e07,Lý Ngọc Thảo,5/13/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
77e77a83-bfc3-4bb0-898c-ff74245d915d,Lý Bảo Long,9/24/2003 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
930c7035-0f2a-45ec-8668-941a90e86001,Bùi Bảo Khánh,6/5/2001 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
b9dc91ab-d891-4d5c-af61-be1df0a57eef,Hà Hoàng Khánh,1/30/2002 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
5409bfee-3d8f-4394-9603-683bf6e7db17,Phạm Ngọc Ý,6/24/2005 12:00:00 AM,Female,6e6a7af0-f45c-4596-ab04-9565715c7b99
1ea15acf-d1d3-4dbe-b466-3b9ad56e7ae1,Phạm Hoàng Thông,11/10/2003 12:00:00 AM,Male,6e6a7af0-f45c-4596-ab04-9565715c7b99
d2e898c1-b5df-475a-9a00-7268ea8014ba,Hà Tử Kiều,9/8/2003 12:00:00 AM,Female,c2824efa-6427-4e9c-a7ed-587434ed3088
98b843aa-ff30-4aa8-b653-a0ec86c82190,Hà Ngọc Châu,11/27/2005 12:00:00 AM,Female,c2824efa-6427-4e9c-a7ed-587434ed3088
58a66e85-b0fd-43ff-a307-14658c144edc,Hà Tiểu Vân,9/16/2004 12:00:00 AM,Female,c2824efa-6427-4e9c-a7ed-587434ed3088
