UUID,Name,Birthday,Gender,Class
bd98daf0-c89a-4112-afe9-712adb687c4d, Trầm Đặng Vy, 09/12/2003, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
ff0e2751-8f2f-483b-8f0e-2893fedf7b76, Hồ Nhật Vy, 14/05/2002, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
20ebd916-64ec-4d6c-a08f-e8571a58e5d6, Lý Diệu Linh, 12/03/2003, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
849188bb-12ce-4200-b387-0be57ff14320, Phạm Thúy Vy, 01/12/2001, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
c2c6c6bf-b8eb-4ccf-87cb-98bd2a8a83e5, Lý Tử Kiều, 03/05/2005, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
804c1978-a4be-4b68-9dd5-d1e8899fda44, Hà Đặng Kiều, 08/03/2005, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
630eaf1d-2e25-45e3-9929-9dd1684c61be, Trầm Nhật Châu, 26/06/2004, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
1f6dff0b-44e8-46cd-aef8-2f9292e2dd61, Lại Diệu Lan, 10/03/2003, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
9c20d501-df21-41db-9215-7a9951944cae, Hồ Thúy Thảo, 24/05/2005, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
d769d6ab-c928-4e02-adfc-9723b2587900, Võ Bảo Linh, 08/04/2002, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
8d099c12-dbaa-43cf-b1a6-e259df158310, Lê Văn Hoàng, 04/12/2001, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
7f7bee5d-bb2a-45ed-8158-7cc8264b915a, Lại Đoàn Hùng, 07/02/2001, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
ae4b87a8-916f-45f6-adaa-ae66924300a9, Võ Như Hoa, 16/01/2005, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
577738ad-280e-4eeb-b537-69a7fbb98bf7, Lại Công Tuấn, 10/06/2001, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
c04b5ebf-7e1a-40ee-8e93-d65a1307c902, Nguyễn Đặng Châu, 02/06/2004, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
76c3417b-a630-4e9c-895d-a891c16aee35, Lê Đức Thịnh, 13/02/2003, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
2953be8f-7fe2-4ab5-b346-b045613e9d09, Bùi Thế Long, 16/01/2003, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
99201df2-3bc0-457d-a485-52bbcaf448f6, Đoàn Tiểu Ý, 25/03/2002, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
4eefe471-7f6b-4012-b25f-6fd687bbf4ac, Hà Thu Vy, 07/04/2001, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
70130c50-045b-41c7-9e04-3313697ddc52, Bùi Thu Thy, 28/08/2004, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
1e036edd-0d67-460d-8b44-ca1ce043cfda, Phạm Xuân Hoàng, 02/04/2003, Male, b11495ff-8a69-40c9-82e7-754e383bf32e
0ee4c813-f0d2-4424-abc1-5ea8ea81c8eb, Lê Quỳnh Yến, 04/09/2002, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
1e75264e-24f6-46d9-b0b1-181ebf817335, Hồ Hoàng Hà, 15/03/2002, Female, b11495ff-8a69-40c9-82e7-754e383bf32e
