UUID, Full Name, Birthday, Gender, Class ID
c9d1bd19-3753-4cea-9d54-36ac9346e335, Trần Quỳnh Ý, 22/03/2004, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
a942a9f0-cf79-4a4f-b0a8-b4fb56e1aef8, Lại Minh Hòa, 23/02/2001, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
c6689403-f859-4da5-98c7-32a69b5aa87d, Lê Diệu Thi, 08/08/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
f271997a-d4f9-4e4e-89b6-621469b289ac, Trầm Hoàng Vy, 04/08/2004, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
d802a964-14bf-4915-af61-e859d294896b, Nguyễn Xuân Vân, 21/08/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
945c8fd8-5572-4274-a217-6afd66e5e2bc, Lê Trường Dương, 30/12/2004, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
ff7db782-1609-4ffe-9ac3-24b49f559ff8, Võ Tiểu Thảo, 25/11/2001, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
40008e67-73f5-4fce-beb4-aced25281b57, Bùi Xuân Linh, 22/04/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
7ab38193-ad3e-44a7-b845-71281e5c2f41, Trầm Văn Hoàng, 28/05/2004, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
b7bde946-e64a-455d-9916-98c5a98a2a59, Đoàn Đoàn Việt, 14/08/2001, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
6cdcc56c-7798-47dc-b011-88874921fc92, Lý Hoàng Việt, 27/05/2002, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
f04425a8-fed5-4217-8bc0-b3a3f01466f4, Hà Hoàng Lan, 04/10/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
0066461a-3182-4fa5-bc53-7828c94b872a, Lý Xuân Thành, 14/01/2002, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
08404245-9c47-4ce7-9f2d-cb52e8071d65, Võ Thúy Giang, 07/03/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
f3ed69e8-96fa-479a-9097-b77b3d49bc24, Trần Thu Linh, 24/03/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
f9737dcf-caee-4380-831d-6e454ab7ee67, Trần Nhật Thảo, 13/02/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
371775da-65e2-4b24-869e-d2ac1abbe7e5, Phạm Nhật Vy, 10/07/2001, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
8cec7b56-902e-4022-a823-86e474158aa6, Võ Thị Linh, 06/07/2001, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
43b84c99-b8b5-4d66-b9a9-3ebe93843d74, Hà Hoàng Thy, 07/08/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
f95592e1-647b-4387-99a9-237f7f549ea0, Phạm Hoàng Mai, 07/01/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
91892229-e2da-4f76-83e7-8290da8a228c, Trần Minh Việt, 09/02/2001, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
e3b7d660-c499-4c41-bd15-52191ac1e373, Lại Tiểu Linh, 25/05/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
ad57dfbe-e9b3-4780-8ea4-560a45cfb4ee, Trầm Xuân Việt, 12/06/2002, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
beb7f1f3-acea-42e2-a79f-956a22caad8b, Bùi Kim Thy, 13/12/2004, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
27ab0beb-b5d5-4144-a726-94275cd0fdcb, Lại Công Hoàng, 13/08/2004, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
7516a8fd-196f-4aaa-867f-2b40fbabcbca, Trầm Công Hưng, 05/08/2001, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
da2fff9f-de25-4a06-96e4-862930bc29c9, Lê Hoàng Lan, 22/09/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
0d3ca8e0-0d50-4297-bfcb-fcf9471e89e4, Hồ Thị Thy, 15/04/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
281760ac-c135-410e-a7e7-a00cb80a848a, Lê Diệu Thi, 13/03/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
09c23279-8ee6-4e44-ab26-b5c1096a208b, Phạm Hoàng Châu, 20/04/2004, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
5e52ac82-049d-4509-95e7-dfcac0f4a4f8, Lại Diệu Thy, 25/01/2001, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
ae24cc66-51f2-4fb2-8003-cea78918f896, Hà Thúy Hà, 12/07/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
885aaec7-b224-4e22-9477-f63eed223d52, Bùi Tiểu Thy, 26/04/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
29294c91-e091-40cc-b91e-bfca15dfbf4e, Hồ Anh Thành, 06/07/2001, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
01b426db-4a15-47c0-a3b7-4aa89ed3fba0, Bùi Thị Vân, 26/04/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
43a03534-3329-4665-9c9b-1ac0a3994426, Lý Minh Hòa, 19/09/2003, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
d99375c7-6b18-43b2-a8d0-951e3b0ced34, Trần Xuân Dương, 25/12/2002, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
be412ce1-9bda-4de0-918e-2e87c666fc82, Hà Như Thi, 09/10/2002, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
f3f0e6ef-ed88-4b01-86fc-180d8853b642, Phạm Kim Thảo, 13/12/2003, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
54ae0ed1-c450-452e-8d73-367bed49a80b, Trầm Tiểu Thi, 22/06/2001, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
aa2360c2-fd6a-4d85-8b24-63d289c4e2b4, Đoàn Thúy Vy, 22/12/2004, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
a7cdd931-3624-4394-a221-e1050a5581c3, Bùi Trọng Dương, 06/01/2005, Male, 1acce366-4d95-41b9-ac11-8ace7d740e08
9dcd3a66-320b-4f00-8bee-db17dfecb546, Hà Tiểu Mai, 29/01/2005, Female, 1acce366-4d95-41b9-ac11-8ace7d740e08
